formatted_readme,summary,prompt_text,generated_summary
//TODO: get SQL rendering out of this package!,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
//TODO: get SQL rendering out of this package!

### Response:","TODO: This is a common abbreviation for ""To Do"", which is used to indicate tasks that need to be completed. In this case, the task is to get SQL rendering out of the current package. This is a DESIGN comment as it suggests a change in the architecture or design of the code."
"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //",DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// TODO // This assumes we only get a SET notification, which isn't a good assumption. //

### Response:",TODO
// TODO: Should be anything allowed by current diagram,IMPLEMENTATION,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// TODO: Should be anything allowed by current diagram

### Response:",DOCUMENTATION
// TODO: How does the pressed cancel become a java.lang.Exception?,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// TODO: How does the pressed cancel become a java.lang.Exception?

### Response:",TODO
"/* * * A Dom tree panel for to display response as tree view author <a * href=""mailto:d.maung Maung</a> * TODO implement to find any nodes in the tree using TreePath. * */",DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
/* * * A Dom tree panel for to display response as tree view author <a * href=""mailto:d.maung Maung</a> * TODO implement to find any nodes in the tree using TreePath. * */

### Response:",TODO
"/** * TODO: This name of the expression language should be * configurable by the user. <p> * * According to the UML standard, * the expression language should be the same * for all elements in one diagram. <p> * * UML is not a sensible default - usually this is some pseudo-language. * * the name of the expression language */",IMPLEMENTATION,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
/** * TODO: This name of the expression language should be * configurable by the user. <p> * * According to the UML standard, * the expression language should be the same * for all elements in one diagram. <p> * * UML is not a sensible default - usually this is some pseudo-language. * * the name of the expression language */

### Response:",DESIGN
"/* * The following variables are set by StandardJMeterEngine. * This is done before start() is called, so the values will be published to the thread safely * TODO - consider passing them to the constructor, so that they can be made final * (to avoid adding lots of parameters, perhaps have a parameter wrapper object. */",DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
/* * The following variables are set by StandardJMeterEngine. * This is done before start() is called, so the values will be published to the thread safely * TODO - consider passing them to the constructor, so that they can be made final * (to avoid adding lots of parameters, perhaps have a parameter wrapper object. */

### Response:",DOCUMENTATION
// TODO turn into method?,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// TODO turn into method?

### Response:",DESIGN
/* * END-KLUDGE */,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
/* * END-KLUDGE */

### Response:",DOCUMENTATION
//TODO: code duplication with SingleTableEntityPersister,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
//TODO: code duplication with SingleTableEntityPersister

### Response:",DEFECT
// TODO: We really want this class to have package scope however the reflection,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// TODO: We really want this class to have package scope however the reflection

### Response:",TODO
/** * **FIXME** This function needs documentation * * Constructor * * String * Name * */,DOCUMENTATION,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
/** * **FIXME** This function needs documentation * * Constructor * * String * Name * */

### Response:",DOCUMENTATION
"// Perhaps if Xerces wasn't slightly brain-damaged, we would // not need this",DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// Perhaps if Xerces wasn't slightly brain-damaged, we would // not need this

### Response:",DESIGN
// TODO: Move to GEF,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// TODO: Move to GEF

### Response:",DESIGN
"/* * TODO: This is probably not the right location * for switching off the ""filterNewlines"". * The setting gets lost after selecting a different * ModelElement in the diagram. * BTW, see how it is used in * javax.swing.text.PlainDocument. * See issue 1812. */",DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
/* * TODO: This is probably not the right location * for switching off the ""filterNewlines"". * The setting gets lost after selecting a different * ModelElement in the diagram. * BTW, see how it is used in * javax.swing.text.PlainDocument. * See issue 1812. */

### Response:",DESIGN
// TODO verify this is correct,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
// TODO verify this is correct

### Response:",TODO - DESIGN
"/** * Process streams get Channel.newChannel()ed into FileChannel but are not actually * seekable. So instead of just the isSeekable check doing instanceof FileChannel, * we must also add this boolean to check, which we set to false when it's known * that the incoming channel is from a process. * * FIXME: This is gross, and it's NIO's fault for not providing a nice way to * tell if a channel is ""really"" seekable. */",DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
/** * Process streams get Channel.newChannel()ed into FileChannel but are not actually * seekable. So instead of just the isSeekable check doing instanceof FileChannel, * we must also add this boolean to check, which we set to false when it's known * that the incoming channel is from a process. * * FIXME: This is gross, and it's NIO's fault for not providing a nice way to * tell if a channel is ""really"" seekable. */

### Response:",DESIGN
//TODO: shift block down to bottom,DESIGN,"### Instruction: You are an AI assistant specialized in classifying code comments.
Your task is to analyze the code comments.
Classify the following code comment as DEFECT, DESIGN, DOCUMENTATION, IMPLEMENTATION, or TEST.
Use just one class. Do not include any additional text.

### Input:
//TODO: shift block down to bottom

### Response:",TODO: DESIGN
