projectname,classification,commenttext
columba-1.4-src,WITHOUT_CLASSIFICATION,// Handling of paragraph combo box // select the item in the combo box corresponding to present format
sql12,WITHOUT_CLASSIFICATION,"// We want to detect two empty text values in a row before  // we decide to restore the original value.  Since 'text' // contains the new value, we want to allow the first empty // 'text' so that the user can clear the field, and on the  // second one we will set it to the original value."
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ StyleTableModel constructor
argouml,WITHOUT_CLASSIFICATION,// GeneralizableElement // 4.5.3.20 [1]
columba-1.4-src,WITHOUT_CLASSIFICATION,// execute filter
columba-1.4-src,WITHOUT_CLASSIFICATION,// open composer view
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//check that fullpath and prefix are incompatible
emf-2.4.1,WITHOUT_CLASSIFICATION,"// Since the first value isn't null, if the second one is, they aren't equal. //"
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1639
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// look for mangling markers for bound, framed methods in class name"
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// collect entity and tool tip information...
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,//handle panning if we have a start point else unregister
argouml,WITHOUT_CLASSIFICATION,/* the height of the blank space above and below the text figs: */
sql12,WITHOUT_CLASSIFICATION,// NOI18N
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$ // $NON-NLS-1$
emf-2.4.1,WITHOUT_CLASSIFICATION,// generateColor();
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// test 1...
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Canned dialog boxes
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
columba-1.4-src,WITHOUT_CLASSIFICATION,"/*
         * (non-Javadoc)
         * 
         * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)
         */"
jruby-1.4.0,DEFECT,"// TODO: This is an freopen in MRI, this is close, but not quite the same"
argouml,WITHOUT_CLASSIFICATION,"/*
     * @see org.argouml.uml.diagram.ui.UMLDiagram#getLabelName()
     */"
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// empty
jruby-1.4.0,WITHOUT_CLASSIFICATION,// end of variable scope
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
